model,feature,importance,feature_type
Random Forest,Morgan_bit_88,0.00020377663908888806,Morgan fingerprint
Random Forest,Morgan_bit_89,0.00042857798490141533,Morgan fingerprint
Random Forest,Morgan_bit_90,0.0006880169166347314,Morgan fingerprint
Random Forest,Morgan_bit_91,0.0007244411361890208,Morgan fingerprint
Random Forest,Morgan_bit_92,0.00030341985681689915,Morgan fingerprint
Random Forest,Morgan_bit_93,0.0002677339728839071,Morgan fingerprint
Random Forest,Morgan_bit_94,0.000551992736778054,Morgan fingerprint
Random Forest,Morgan_bit_95,0.0005051441565376122,Morgan fingerprint
Random Forest,Morgan_bit_96,0.0001372081703062204,Morgan fingerprint
Random Forest,Morgan_bit_97,0.00102525354897295,Morgan fingerprint
Random Forest,Morgan_bit_98,0.00014666113263158548,Morgan fingerprint
Random Forest,Morgan_bit_99,0.00024710112439296056,Morgan fingerprint
Random Forest,Morgan_bit_100,0.00013257817841982192,Morgan fingerprint
Random Forest,Morgan_bit_101,0.00015848514992602438,Morgan fingerprint
Random Forest,Morgan_bit_102,0.0006647683904498188,Morgan fingerprint
Random Forest,Morgan_bit_103,0.00012156090496500238,Morgan fingerprint
Random Forest,Morgan_bit_104,0.00028387730068060404,Morgan fingerprint
Random Forest,Morgan_bit_105,0.00046815565656315486,Morgan fingerprint
Random Forest,Morgan_bit_106,0.00047925980995033044,Morgan fingerprint
Random Forest,Morgan_bit_107,0.00018126794246678315,Morgan fingerprint
Random Forest,Morgan_bit_108,0.0006172926326122222,Morgan fingerprint
Random Forest,Morgan_bit_109,0.0005721267687469833,Morgan fingerprint
Random Forest,Morgan_bit_110,0.0005588776569462246,Morgan fingerprint
Random Forest,Morgan_bit_111,3.6457309615550585e-05,Morgan fingerprint
Random Forest,Morgan_bit_112,0.00017599660803226957,Morgan fingerprint
Random Forest,Morgan_bit_113,8.102654732609474e-05,Morgan fingerprint
Random Forest,Morgan_bit_114,0.0018194582839942469,Morgan fingerprint
Random Forest,Morgan_bit_115,0.0006879980968929718,Morgan fingerprint
Random Forest,Morgan_bit_116,0.0009919904658694388,Morgan fingerprint
