model,accuracy,balanced_accuracy,macro_f1
Random Forest,0.5975609756097561,0.36219366350930343,0.4062914144570418
SVM,0.5760401721664276,0.3227685356254673,0.36965251912973923
XGBoost,0.6169296987087518,0.39212547157114924,0.43573169954078445
Logistic Regression,0.5652797704447633,0.42917317231995716,0.43471441442537245
