atom_idx,symbol,score,norm
13,C,0.04065634585240151,1.0
14,N,0.03876207229460579,0.9534076779877693
15,C,0.029906405039275462,0.7355900883922881
11,C,0.012486306523595675,0.30711826805404174
25,C,0.01059203296579996,0.26052594604181095
10,N,0.00549520421625318,0.1351622754342687
12,O,0.0037588385057835518,0.09245391898793882
6,C,0.0036009306584574665,0.08856995342203793
