model,accuracy,balanced_accuracy,macro_f1
KNORAE,0.6047345767575323,0.36828137369838926,0.41781869931792665
KNORAU,0.603299856527977,0.36521880231028064,0.4121953822447133
DESP,0.5975609756097561,0.3571693227584421,0.40865227747026545
