bond_idx,begin,end,score,norm
13,13,14,0.03876207229460579,0.9534076779877693
14,14,15,0.029906405039275462,0.7355900883922881
12,11,13,0.010749940813126045,0.2644099116077119
24,13,25,0.008855667255330331,0.2178175895954811
10,10,11,0.00549520421625318,0.1351622754342687
11,11,12,0.0037588385057835518,0.09245391898793882
9,6,10,0.0036009306584574665,0.08856995342203793
28,25,10,0.0036009306584574665,0.08856995342203793
